stat_id,chger_id,chger_type,stat,stat_upd_dt,last_tsdt,last_tedt,now_tsdt,output,method
ACAC0001,1,2,2,20240123144019,20240123142117,20240123142330,20230821121141,3,단독
ACAC0001,3,5,9,20231219161310,20231102174041,20231102174111,20231102085705,100,단독
ACAC0001,4,2,9,20231219161310,20231113111459,20231113111508,20231017075507,7,단독
ACAC0001,5,5,9,20240118192000,20231221114527,20231221114602,20231221024953,50,단독
ACAC0001,6,5,9,20240118192000,20231226144327,20231226144351,20231226053717,200,단독
ACAC0001,7,5,9,20240109180310,20231129135514,20231129135551,20231129045551,100,동시
ACAC0001,8,5,9,20240109180310,20231129165110,20231127165120,20231123064435,100,동시
ACAC0001,9,2,9,20231201102810,20231128151549,20231128151634,20231127065111,100,동시
ACAC0001,10,5,9,20231201102810,20231128151845,20231128151923,20231128061923,100,동시
ACAC0001,11,2,9,20240118093001,20240116144157,20240116144256,20240116054321,7,동시
ACAC0001,12,2,9,20240118093001,20240116144511,20240116181422,20240116091447,7,동시
ACAC0001,13,2,9,20240117175310,,,,7,동시
ACAC0001,14,2,9,20240117175310,,,,7,동시
ACAC0001,15,5,2,20240122121006,20240110151342,20240110151453,20240110061453,100,단독
ACAC0001,16,5,2,20240122121006,20240110150546,20240110150658,20240110060658,100,단독
ACAC0001,17,5,9,20240111160810,,,,7,단독
ACAC0001,18,5,9,20240115191810,20240112182919,20240112182938,20240112093024,7,단독
ACAC0001,19,6,9,20240118164310,,,20240118070931,50,동시
ACAC0001,20,5,9,20240118164310,,,20240118070757,50,단독
ACAC0001,21,5,9,20240118180810,20240118172749,20240118172828,20240118083246,50,동시
ACAC0001,22,5,9,20240118180810,20240118172920,20240118172957,20240118083415,50,동시
ACAC0001,23,5,9,20240118160810,20240118153225,20240118153304,20240118063304,50,동시
ACAC0001,24,5,9,20240118160810,20240118152926,20240118153006,20240118063006,50,동시
ACAC0001,25,5,9,20240118172310,20231226145130,20231226145147,20240118074713,50,동시
ACAC0001,26,5,9,20240118172310,20231226144622,20231226144626,20240118074837,50,동시
ACAC0001,27,5,9,,,,,200,동시
ACAC0001,28,5,9,,,,,200,동시
ACAC0001,29,5,9,,,,,200,동시
ACAC0001,30,5,9,,,,,200,동시
ACAC0001,31,5,9,,,,,200,동시
ACAC0001,32,5,9,,,,,200,동시
ACAC0001,33,5,9,,,,,200,동시
ACAC0001,34,5,9,,,,,200,동시
AM900008,1,2,2,20240123191537,20240123060132,20240123040118,20240123171207,7,단독
AM900008,2,2,2,20240123154318,20240123080137,20240123020105,20240123145918,7,단독
AM900009,1,4,2,20240123182334,20240123090102,20240123100127,20240123165735,100,동시
AM900009,11,4,2,20240123101443,20240122060149,20240122070146,20240123094641,100,동시
AM900012,1,2,2,20240123173551,20240122080122,20240122100103,20240123131107,7,동시
AM900012,2,2,2,20240117131517,20240108090117,20240108010114,20240108091917,7,동시
AM900012,3,2,2,20240123115236,20240119080119,20240119100101,20240123084238,7,동시
AM900012,4,2,5,20240122123218,20240118090104,20240118010149,20240122092427,7,동시
AM900012,5,2,2,20240123185458,20240119080102,20240119120145,20240123090407,7,동시
