stat_nm,stat_id,addr,location,use_time,lat,lng,operating_company_busi_id,busi_nm,busi_call,zcode,zscode,kind,kind_detail,parking_free,note,limit_yn,limit_detail,del_yn,del_detail,traffic_yn
아우토크립트 충전소(Test),ACAC0001,서울특별시 영등포구 여의공원로 115,지하 4층,24시간 이용가능,37.5300525,126.926228,AC,아우토크립트,02-2125-4075,11,11560,G0,G004,N,,Y,관계자만 이용 가능,N,,N
보건복지행정타운 충전소,AM900008,서울특별시 광진구 능동로 400,B2F 주차장,24시간 이용가능,37.565011,127.0845968,AM,아마노코리아,1833-4577,11,11215,A0,A003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N
보건복지행정타운(경기북부) 급속충전소,AM900009,서울특별시 광진구 능동로 400,구내주차장,24시간 이용가능,37.565011,127.0845968,AM,아마노코리아,1833-4577,11,11215,A0,A003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N
서울 한샘상암사옥 충전소,AM900012,서울특별시 마포구 성암로 179,지하5층 램프 옆 벽면,24시간 이용가능,37.5761509,126.8987638,AM,아마노코리아,1833-4577,11,11440,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N
서울 마포 맹그로브신촌 충전소,AM900033,서울특별시 마포구 서강로 121,지하3층 주차장,24시간 이용가능,37.55394632,126.9340144,AM,아마노코리아,1833-4577,11,11440,G0,G004,N,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N
마곡로뎀타워 급속충전소,AM900040,서울특별시 강서구 공항대로 186,지하4층 주차장,24시간 이용가능,37.559106,126.8280365,AM,아마노코리아,1833-4577,11,11500,G0,G004,N,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N
마곡로뎀타워 충전소,AM900041,서울특별시 강서구 공항대로 186,지하4층 주차장,24시간 이용가능,37.55909967,126.8279956,AM,아마노코리아,1833-4577,11,11500,G0,G004,N,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N
서울 아이콘역삼빌딩 충전소,AM900042,서울특별시 강남구 테헤란로44길 8,지하5층 주차장,24시간 이용가능,37.50232702,127.0444446,AM,아마노코리아,1833-4577,11,11680,G0,G004,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,,N
더채플청담빌딩,AM900043,서울특별시 강남구 선릉로 757,지상 1층 주차장,24시간 이용가능,37.5225918,127.0303773,AM,아마노코리아,1833-4577,11,11680,E0,E006,N,,N,,N,,N
더채플논현빌딩,AM900044,서울특별시 강남구 논현로 549,지하2층 주차장,24시간 이용가능,37.5050847,127.0259944,AM,아마노코리아,1833-4577,11,11680,E0,E006,N,,N,,N,,N
진양빌딩,AM900045,서울특별시 서대문구 경기대로 47,주차장,24시간 이용가능,37.5638018,126.9581889,AM,아마노코리아,1833-4577,11,11410,G0,G004,N,,N,,N,,N
